danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.77,0.623,8,-7.025,0,0.0569,0.0601,0,0.117,0.0947,134.974,Dark Trap,,,,,,,,
0.8,0.505,0,-6.54,1,0.115,0.0206,2.05E-05,0.198,0.179,114.972,Dark Trap,,,,,,,,
0.781,0.493,1,-7.649,1,0.0522,0.0717,0.586,0.123,0.0383,212.022,Dark Trap,,,,,,,,
0.817,0.911,0,-2.153,1,0.0455,0.187,0.00173,0.42,0.34,119.989,Dark Trap,,,,,,,,
0.814,0.74,10,-5.438,0,0.0947,0.11,2.28E-05,0.12,0.191,120.098,Dark Trap,,,,,,,,
0.678,0.77,6,-3.206,0,0.145,0.125,0,0.184,0.284,150.018,Dark Trap,,,,,,,,
0.755,0.788,0,-4.572,1,0.216,0.0355,0,0.311,0.465,140.055,Dark Trap,,,,,,,,
0.81,0.524,5,-6.705,1,0.0441,0.0444,0.714,0.105,0.155,122.016,Dark Trap,,,,,,,,
0.806,0.702,0,-6.643,1,0.0688,0.274,0.138,0.323,0.182,211.95,Dark Trap,,,,,,,,
0.89,0.74,1,-4.303,1,0.223,0.318,1.17E-05,0.244,0.436,130.012,Dark Trap,,,,,,,,
0.909,0.573,5,-6.856,1,0.181,0.0332,0.0163,0.657,0.392,144.946,Dark Trap,,,,,,,,
0.735,0.933,1,-2.151,0,0.0788,0.0185,0.0108,0.1,0.116,129.988,Dark Trap,,,,,,,,
0.698,0.987,8,-0.734,0,0.167,0.0226,0.000558,0.343,0.266,129.763,Dark Trap,,,,,,,,
0.577,0.692,11,-5.96,1,0.64,0.372,0.0596,0.0989,0.0658,144.702,Dark Trap,,,,,,,,
0.827,0.771,0,-4.374,1,0.318,0.0456,0,0.109,0.545,149.867,Dark Trap,,,,,,,,
0.68,0.707,2,-5.133,1,0.127,0.00914,0.00638,0.097,0.228,159.941,Dark Trap,,,,,,,,
0.721,0.899,10,-4.07,0,0.057,0.0116,2.51E-05,0.126,0.0385,142.018,Dark Trap,,,,,,,,
0.777,0.812,8,-5.146,1,0.0447,0.26,0.264,0.185,0.452,139.961,Dark Trap,,,,,,,,
0.579,0.813,7,-4.573,1,0.367,0.0605,3.50E-05,0.365,0.312,215.218,Dark Trap,,,,,,,,
0.86,0.524,11,-4.698,1,0.0729,0.578,0.96,0.0993,0.142,114.946,Dark Trap,,,,,,,,
0.425,0.508,8,-10.01,1,0.13,0.0639,0.181,0.244,0.0679,130.837,Dark Trap,,,,,,,,
0.494,0.695,1,-10.566,1,0.751,0.00421,0.0158,0.223,0.0722,155.01,Dark Trap,,,,,,,,
0.649,0.772,11,-5.332,0,0.133,0.717,0.00305,0.103,0.0294,219.946,Dark Trap,,,,,,,,
0.814,0.758,0,-6.512,1,0.384,0.185,0.091,0.204,0.82,159.94,Dark Trap,,,,,,,,
0.37,0.856,7,-5.489,1,0.401,0.403,0.00967,0.18,0.0755,158.764,Dark Trap,,,,,,,,
0.888,0.906,1,-4.028,1,0.365,0.221,0.000474,0.266,0.477,125.033,Dark Trap,,,,,,,,
0.816,0.62,11,-7.804,1,0.51,0.255,1.09E-05,0.251,0.265,144.981,Dark Trap,,,,,,,,
